"time","GEO_ID","NAME","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_CV",
"Year","Geographic identifier code","Geographic Area Name","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount","Coefficent of Variation for Amount (percent)",
"2022","0100000US","United States","SF0059","Revenue - General Revenue - From Own Sources - Taxes - License - Motor Vehicle Operators","002","State","3022317","0.00",
"2022","0100000US","United States","SF0060","Revenue - General Revenue - From Own Sources - Taxes - License - Public Utilities","002","State","1158761","0.00",
"2022","0100000US","United States","SF0061","Revenue - General Revenue - From Own Sources - Taxes - License - Occupation and Business","002","State","15881572","0.00",
"2022","0100000US","United States","SF0062","Revenue - General Revenue - From Own Sources - Taxes - License - Other","002","State","2011567","0.00",
"2022","0100000US","United States","SF0063","Revenue - General Revenue - From Own Sources - Taxes - Total Other","002","State","57038807","0.00",
"2022","0100000US","United States","SF0064","Revenue - General Revenue - From Own Sources - Taxes - Other - Death and Gift","002","State","6738871","0.00",
"2022","0100000US","United States","SF0065","Revenue - General Revenue - From Own Sources - Taxes - Other - Documentary","002","State","18196660","0.00",
"2022","0100000US","United States","SF0066","Revenue - General Revenue - From Own Sources - Taxes - Other - Severance","002","State","25785215","0.00",
"2022","0100000US","United States","SF0067","Revenue - General Revenue - From Own Sources - Taxes - Other - NEC","002","State","6318061","0.00",
"2022","0100000US","United States","SF0068","Revenue - General Revenue - From Own Sources - Total Current Charges & Miscellaneous Revenue","002","State","442356827","0.00",
"2022","0100000US","United States","SF0069","Revenue - General Revenue - From Own Sources - Total Current Charges","002","State","270769360","0.00",
"2022","0100000US","United States","SF0070","Revenue - General Revenue - From Own Sources - Current Charges - Air Transportation","002","State","1944493","0.00",
"2022","0100000US","United States","SF0071","Revenue - General Revenue - From Own Sources - Current Charges - Misc Commercial","002","State","2731383","0.00",
"2022","0100000US","United States","SF0072","Revenue - General Revenue - From Own Sources - Current Charges - School Lunch","002","State","8072","0.00",
"2022","0100000US","United States","SF0073","Revenue - General Revenue - From Own Sources - Current Charges - Elem/Sec Tuition","002","State","844","0.00",
"2022","0100000US","United States","SF0074","Revenue - General Revenue - From Own Sources - Current Charges - Other Elem/Sec","002","State","64536","0.00",
"2022","0100000US","United States","SF0075","Revenue - General Revenue - From Own Sources - Current Charges - Higher Education Auxiliary Enterprises","002","State","27636370","0.00",
"2022","0100000US","United States","SF0076","Revenue - General Revenue - From Own Sources - Current Charges - Higher Ed Other","002","State","91244013","0.00",
"2022","0100000US","United States","SF0077","Revenue - General Revenue - From Own Sources - Current Charges - Federal and State Other Education, NEC","002","State","950498","0.00",
"2022","0100000US","United States","SF0078","Revenue - General Revenue - From Own Sources - Current Charges - Hospitals","002","State","98991572","0.00",
"2022","0100000US","United States","SF0079","Revenue - General Revenue - From Own Sources - Current Charges - Regular Highways","002","State","991434","0.00",
"2022","0100000US","United States","SF0080","Revenue - General Revenue - From Own Sources - Current Charges - Toll Highways","002","State","12245287","0.00",
"2022","0100000US","United States","SF0081","Revenue - General Revenue - From Own Sources - Current Charges - Housing and Community Development","002","State","1267023","0.00",
"2022","0100000US","United States","SF0082","Revenue - General Revenue - From Own Sources - Current Charges - Other Agriculture","002","State","1161288","0.00",
